cid,cas,name,group,Volume,Volume publication year,Evaluation year,Additional information
53665,77439-76-0,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,2B,84,2004,2002.0,
,77500-04-0,"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",2B,"Sup 7, 56",1993,1992.0,
23673461,1/2/7758,Potassium bromate,2B,"Sup 7, 73",1999,1998.0,
23668197,7758-19-2,Sodium chlorite,3,52,1991,1990.0,
,7782-49-2,Selenium and selenium compounds,3,"9, Sup 7",1987,1987.0,
6544,78-59-1,Isophorone,2B,130,2022 online,2021.0,
6557,78-79-5,Isoprene,2B,"60, 71",1999,1998.0,
6564,78-87-5,"1,2-Dichloropropane",1,"41, Sup 7, 71, 110",2017,2014.0,
880,78-98-8,Methylglyoxal,3,51,1991,1990.0,
13090,789-07-1,2-Nitropyrene,3,46,1989,1988.0,
6574,79-00-5,"1,1,2-Trichloroethane",3,"52, 71",1999,1998.0,
6575,79-01-6,Trichloroethylene,1,"Sup 7, 63, 106",2014,2012.0,
6579,79-06-1,Acrylamide,2A,"60, Sup 7",1994,1994.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
6581,79-10-7,Acrylic acid,3,"19, Sup 7, 71",1999,1998.0,
6591,79-34-5,"1,1,2,2-Tetrachloroethane",2B,"20, Sup 7, 71, 106",2014,2012.0,
6597,79-43-6,Dichloroacetic acid,2B,"63, 84, 106",2014,2012.0,
6598,79-44-7,Dimethylcarbamoyl chloride,2A,"12, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
398,79-46-9,2-Nitropropane,2B,"29, Sup 7, 71",1999,1998.0,
6618,79-94-7,Tetrabromobisphenol A,2A,115,2018,2016.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from mechanistic data
,794-93-4,Dihydroxymethylfuratrizine (see also Panfuran S),3,"24, Sup 7",1987,1987.0,
6414792,794-93-4,Panfuran S (containing dihydroxymethylfuratrizine),2B,"24, Sup 7",1987,1987.0,
2955,80-08-0,Dapsone,3,"24, Sup 7",1987,1987.0,
6658,80-62-6,Methyl methacrylate,3,"Sup 7, 60",1994,1994.0,
61215,800-24-8,Aziridyl benzoquinone,3,"9, Sup 7",1987,1987.0,
,8001-35-2,Toxaphene (Polychlorinated camphenes),2B,"Sup 7, 79",2001,2000.0,
,8001-50-1,Terpene polychlorinates (Strobane®),3,"5, Sup 7",1987,1987.0,
,8001-58-9,Creosotes,2A,"Sup 7, 92",2010,2005.0,
,5/9/8002,Crude oil,3,45,1989,1988.0,
,8007-45-2,Coal tars (see Coal-tar distillation),,"35, Sup 7",1987,1987.0,
,8007-45-2,Coal-tar distillation,1,"92, 100F",2012,2009.0,
,7/3/8018,Acriflavinium chloride,3,"13, Sup 7",1987,1987.0,
6252910,804-36-4,Nitrovin,3,"31, Sup 7",1987,1987.0,
91663255,8047-67-4,Saccharated iron oxide,3,"2, Sup 7",1987,1987.0,
,8052-42-4,"Bitumens, extracts of steam-refined and air-refined; steam-refined, cracking-residue and air-refined bitumens (see Bitumens, occupational exposures)",,,,,
,"8052-42-4, 64741-56-6","Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving",2B,103,2013,2011.0,
,81-07-2,Saccharin and its salts,3,"Sup 7, 73",1999,1998.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
62329,81-15-2,Musk xylene,3,65,1996,1995.0,
6681,81-49-2,"1-Amino-2,4-dibromoanthraquinone",2B,101,2013,2011.0,
6694,81-88-9,Rhodamine B,3,"16, Sup 7",1987,1987.0,
,817-09-4,Trichlormethine (Trimustine hydrochloride),2B,"Sup 7, 50",1990,1989.0,
6702,82-28-0,1-Amino-2-methylanthraquinone,3,"27, Sup 7",1987,1987.0,
,82-68-8,Quintozene (Pentachloronitrobenzene),3,"5, Sup 7",1987,1987.0,
13195,822-36-6,4-Methylimidazole,2B,101,2013,2011.0,
3033767,82413-20-5,Droloxifene,3,66,1996,1996.0,
13232,828-00-2,Dimethoxane,3,"15, Sup 7",1987,1987.0,
6734,83-32-9,Acenaphthene,3,92,2010,2005.0,
6751,83-63-6,Diacetylaminoazotoluene,3,"8, Sup 7",1987,1987.0,
6753,83-66-9,Musk ambrette,3,65,1996,1995.0,
5429,83-67-0,Theobromine,3,51,1991,1990.0,
13257,832-69-9,1-Methylphenanthrene,3,"Sup 7, 92",2010,2005.0,
55004,83463-62-1,Bromochloroacetonitrile,3,"52, 71",1999,1998.0,
13283,838-88-0,"4,4'-Methylene bis(2-methylaniline)",2B,"4, Sup 7",1987,1987.0,
6780,84-65-1,Anthraquinone,2B,101,2013,2011.0,
13297,842-07-9,Sudan I,3,"8, Sup 7",1987,1987.0,
5391,846-50-4,Temazepam,3,66,1996,1996.0,
995,85-01-8,Phenanthrene,3,"Sup 7, 92",2010,2005.0,
2347,85-68-7,Butyl benzyl phthalate,3,"Sup 7, 73",1999,1998.0,
62330,85-83-6,Scarlet Red,3,"8, Sup 7",1987,1987.0,
6824,85-84-7,Yellow AB,3,"8, Sup 7",1987,1987.0,
62331,85-86-9,Sudan III,3,"8, Sup 7",1987,1987.0,
98533,85502-23-4,3-(N-Nitrosomethylamino)propionaldehyde,3,"Sup 7, 85",2004,2003.0,
55431,85878-62-2,"Pyrido[3,4-c]psoralen",3,"40, Sup 7",1987,1987.0,
55432,85878-63-3,"7-Methylpyrido[3,4-c]psoralen",3,"40, Sup 7",1987,1987.0,
6838,86-30-6,N-Nitrosodiphenylamine,3,"27, Sup 7",1987,1987.0,
3637,86-54-4,Hydralazine,3,"24, Sup 7",1987,1987.0,
6849,86-57-7,1-Nitronaphthalene,3,46,1989,1988.0,
6853,86-73-7,Fluorene,3,"Sup 7, 92",2010,2005.0,
6854,86-74-8,Carbazole,2B,"32, Sup 7, 71, 103",2013,2011.0,
,86-88-4,1-Naphthylthiourea (ANTU),3,"30, Sup 7",1987,1987.0,
6327114,868-85-9,Dimethyl hydrogen phosphite,2B,"48, 71, 133",In prep.,2023.0,
5284369,87-29-6,Cinnamyl anthranilate,3,"Sup 7, 77",2000,2000.0,
6896,87-62-7,"2,6-Dimethylaniline (2,6-Xylidine)",2B,57,1993,1992.0,
6901,87-68-3,Hexachlorobutadiene,3,73,1999,1998.0,
,87-86-5,Pentachlorophenol (see also Polychlorophenols),1,"53, 71, 117",2019,2016.0,
13962857,87625-62-5,Ptaquiloside,3,"40, Sup 7",1987,1987.0,
6913,88-05-1,"2,4,6-Trimethylaniline",3,"27, Sup 7",1987,1987.0,
,88-06-2,"2,4,6-Trichlorophenol (see also Polychlorophenols)",2B,117,2019,2016.0,
6917,88-12-0,N-Vinyl-2-pyrrolidone,3,"19, Sup 7, 71",1999,1998.0,
6944,88-72-2,2-Nitrotoluene,2A,101,2013,2011.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
6945,88-73-3,2-Chloronitrobenzene,2B,"65, 123",2020 online,2018.0,
,"88-73-3, 121-73-3, 100-00-5","Chloronitrobenzenes (see 2-Chloronitrobenzene, 3-Chloronitrobenzene, 4-Chloronitrobenzene)",,,,,
6977,89-61-2,"1,4-Dichloro-2-nitrobenzene",2B,"65, 123",2020 online,2018.0,
442495,89-82-7,Pulegone,2B,108,2016,2013.0,
13462,892-21-7,3-Nitrofluoranthene,3,"33, Sup 7",1987,1987.0,
3005573,89778-26-7,Toremifene,3,66,1996,1996.0,
,90-04-0,ortho-Anisidine (see also ortho-Anisidine hydrochloride),2A,"Sup 7, 73, 127",2021 online,2020.0,
7017,90-43-7,ortho-Phenylphenol,3,73,1999,1998.0,
1268111,90-65-3,Penicillic acid,3,"10, Sup 7",1987,1987.0,
,90-94-8,"Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]",2B,99,2010,2008.0,
,7/1/9000,"Carrageenan, native",3,"31, Sup 7",1987,1987.0,
,9000-38-8,Kava extract,2B,108,2016,2013.0,
,9002-84-0,Polytetrafluoroethylene,3,"19, Sup 7",1987,1987.0,
,9002-86-2,Polyvinyl chloride,3,"19, Sup 7",1987,1987.0,
,9002-88-4,Polyethylene,3,"19, Sup 7",1987,1987.0,
,9002-89-5,Polyvinyl alcohol,3,"19, Sup 7",1987,1987.0,
,1/4/9003,Polyacrylic acid,3,"19, Sup 7",1987,1987.0,
,9003-07-0,Polypropylene,3,"19, Sup 7",1987,1987.0,
,9003-20-7,Polyvinyl acetate,3,"19, Sup 7",1987,1987.0,
,9003-22-9,Vinyl chloride-vinyl acetate copolymers,3,"19, Sup 7",1987,1987.0,
,9003-39-8,Polyvinyl pyrrolidone,3,"19, Sup 7, 71",1999,1998.0,
,9003-53-6,Polystyrene,3,"19, Sup 7",1987,1987.0,
,9003-54-7,Styrene-acrylonitrile copolymers,3,"19, Sup 7",1987,1987.0,
,9003-55-8,Styrene-butadiene copolymers,3,"19, Sup 7",1987,1987.0,
,9004-51-7,Iron-dextrin complex,3,"2, Sup 7",1987,1987.0,
,9004-66-4,Iron-dextran complex,2B,"2, Sup 7",1987,1987.0,
,90045-36-6,Ginkgo biloba extract,2B,108,2016,2013.0,
,9009-54-5,Polyurethane foams,3,"19, Sup 7",1987,1987.0,
,9010-98-4,Polychloroprene,3,"19, Sup 7",1987,1987.0,
,6/7/9011,Vinylidene chloride-vinyl chloride copolymers,3,"19, Sup 7",1987,1987.0,
,9011-14-7,Polymethyl methacrylate,3,"19, Sup 7",1987,1987.0,
,9016-87-9,Polymethylene polyphenyl isocyanate,3,"19, Sup 7",1987,1987.0,
107731,90370-29-9,"4,4',6-Trimethylangelicin plus ultraviolet A radiation",3,Sup 7,1987,1987.0,
931,91-20-3,Naphthalene,2B,82,2002,2002.0,
7047,91-22-5,Quinoline,2B,121,2019,2018.0,
,91-23-6,ortho-Nitroanisole,2A,"65, 127",2021 online,2020.0,NB Originally evaluated as 2-Nitroanisole
7057,91-59-8,2-Naphthylamine,1,"4, Sup 7, 99, 100F",2012,2009.0,
323,91-64-5,Coumarin,3,"Sup 7, 77",2000,2000.0,
7069,91-93-0,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",3,"39, Sup 7",1987,1987.0,
7070,91-94-1,"3,3'-Dichlorobenzidine",2B,"29, Sup 7",1987,1987.0,
13506,915-67-3,Amaranth,3,"8, Sup 7",1987,1987.0,
7102,92-67-1,4-Aminobiphenyl,1,"1, Sup 7, 99, 100F",2012,2009.0,
7111,92-87-5,Benzidine,1,"29, Sup 7, 99, 100F",2012,2009.0,
7114,92-93-3,4-Nitrobiphenyl,3,"4, Sup 7",1987,1987.0,
13542,924-16-3,N-Nitrosodi-n-butylamine,2B,"17, Sup 7",1987,1987.0,
13543,924-42-5,N-Methylolacrylamide,2B,"60, 130",2022 online,2021.0,
7127,93-15-2,Methyleugenol,2A,"101, 134",In prep.,2023.0,
13591,930-55-2,N-Nitrosopyrrolidine,2B,"17, Sup 7",1987,1987.0,
7187,94-36-0,Benzoyl peroxide,3,"36, Sup 7, 71",1999,1998.0,
7197,94-58-6,Dihydrosafrole,2B,"10, Sup 7",1987,1987.0,
5144,94-59-7,Safrole,2B,"10, Sup 7",1987,1987.0,
,94-75-7,"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)",2B,113,2018,2015.0,
7216,95-06-7,Sulfallate,2B,"30, Sup 7",1987,1987.0,
7239,95-50-1,ortho-Dichlorobenzene,3,"Sup 7, 73",1999,1998.0,
7242,95-53-4,ortho-Toluidine,1,"Sup 7, 77, 99, 100F",2012,2009.0,
7243,95-54-5,ortho-Phenylenediamine,2B,123,2020 online,2018.0,
7250,95-68-1,"2,4-Xylidine",3,"16, Sup 7",1987,1987.0,
7251,95-69-2,4-Chloro-ortho-toluidine,2A,"77, 99",2010,2008.0,
7252,95-70-5,"2,5-Diaminotoluene",3,"16, Sup 7",1987,1987.0,
7259,95-78-3,"2,5-Xylidine",3,"16, Sup 7",1987,1987.0,
7260,95-79-4,5-Chloro-ortho-toluidine,3,77,2000,2000.0,
7261,95-80-7,"2,4-Diaminotoluene",2B,"16, Sup 7",1987,1987.0,
7263,95-83-0,4-Chloro-ortho-phenylenediamine,2B,"27, Sup 7",1987,1987.0,
7265,95-85-2,2-Amino-4-chlorophenol,2B,123,2020 online,2018.0,
7276,96-09-3,"Styrene-7,8-oxide",2A,"Sup 7, 60, 121",2019,2018.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
7280,96-12-8,"1,2-Dibromo-3-chloropropane",2B,"20, Sup 7, 71",1999,1998.0,
7281,96-13-9,"2,3-Dibromopropan-1-ol",2B,77,2000,2000.0,
7285,96-18-4,"1,2,3-Trichloropropane",2A,63,1995,1995.0,
7289,96-23-1,"1,3-Dichloro-2-propanol",2B,101,2013,2011.0,
7290,96-24-2,"3-Monochloro-1,2-propanediol",2B,101,2013,2011.0,
7294,96-33-3,Methyl acrylate,2B,"39, Sup 7, 71, 122",2019,2018.0,
2723650,96-45-7,Ethylenethiourea,3,"Sup 7, 79",2001,2000.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
7302,96-48-0,gamma-Butyrolactone,3,"11, Sup 7, 71",1999,1998.0,
3314,97-53-0,Eugenol,3,"36, Sup 7",1987,1987.0,
853433,97-54-1,Isoeugenol,2B,134,In prep.,2023.0,
7340,97-56-3,ortho-Aminoazotoluene,2B,"8, Sup 7",1987,1987.0,
3117,97-77-8,Disulfiram,3,"12, Sup 7",1987,1987.0,
7354,97-88-1,Butyl methacrylate,2B,133,In prep.,2023.0,
7361,98-00-0,Furfuryl alcohol,2B,119,2019,2017.0,
7362,98-01-1,Furfural,3,63,1995,1995.0,
7394,98-56-6,4-Chlorobenzotrifluoride,2B,125,2020 online,2019.0,
7406,98-82-8,Cumene,2B,101,2013,2011.0,
,98-83-9,α-Methylstyrene,2B,101,2013,2011.0,
,"98-87-3, 98-07-7, 100-44-7, 98-88-4","alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)",2A,"29, Sup 7, 71",1999,1998.0,
7416,98-95-3,Nitrobenzene,2B,65,1996,1995.0,
13806,989-38-8,Rhodamine 6G,3,"16, Sup 7",1987,1987.0,
,"99-08-1, 99-99-0",Nitrotoluenes,3,65,1996,1995.0,
7444,99-55-8,5-Nitro-ortho-toluidine,3,48,1990,1989.0,
5111791,99-56-9,"1,2-Diamino-4-nitrobenzene",3,"16, Sup 7",1987,1987.0,
3613389,99-57-0,2-Amino-4-nitrophenol,3,57,1993,1992.0,
7447,99-59-2,5-Nitro-ortho-anisidine,3,"27, Sup 7",1987,1987.0,
60991,99-80-9,"N-Methyl-N,4-dinitrosoaniline",3,"1, Sup 7",1987,1987.0,
7471,99-97-8,"N,N-Dimethyl-p-toluidine",2B,115,2018,2016.0,
